question,answer,answer_gemma2b_hybrid
"Which student of Wilhelm Reich went on to develop a pseudo-scientific and spiritual concept called orgone, whose energy was present in the atmosphere and could be used to produce rain?",Charles Kelley,The context does not provide sufficient information to answer the question.
"Which soft drink was originally developed in 1940 in Tennessee, Dr Pepper or Mountain Dew?",Mountain Dew,The context does not provide sufficient information to answer the question.
"Cell or Kaiser Chiefs, which band was formed first? ",Cell,The context does not provide sufficient information to answer the question.
"Which of Patrick McDonnell's works features Earl, a dog?","the daily comic strip ""Mutts""",The context does not provide sufficient information to answer the question.
Who directed the movie in which Lynn Cartwright played the older version of Gena Davis' character Dottie Hinson? ,Penny Marshall,The context does not provide sufficient information to answer the question.
"which is the eldest, Blackjack Pizza or Papa Murphy's?",Papa Murphy's,The context does not provide sufficient information to answer the question.
Anna Lynch-Robinson was nominated at the 85th Academy Awards for her work on a film directed by who?,Tom Hooper,The context does not provide sufficient information to answer the question.
"I Am Gloria Gaynor is the eleventh studio album by Gloria Gaynor, released in 1984 by Chrysalis Records, the most notable song on the album was Gloria Gaynor's cover of ""I Am What I Am"" from La Cage aux Folles, a musical with a book by Harvey Fierstein and lyrics and music by Jerry Herman, it's based on the 1973 French play of the same name by who?",Jean Poiret,The context does not provide sufficient information to answer the question.
Yu Darvish was named MVP of the 2006 Asia baseball series. Which MLB team does he pitch for?,Los Angeles Dodgers,The context does not provide sufficient information to answer the question.
"What is the pulp and paper company based in Atlanta, Georgia, that hosted Big Thunder Ranch at Disneyland","Georgia-Pacific LLC is an American pulp and paper company based in Atlanta, Georgia","What is the pulp and paper company based in Atlanta, Georgia, that hosted Big Thunder Ranch at Disneyland?"
Hacksaw Ridge is a documentary about Desmond Doss who was unable to carry a weapon due to his what?,faith,The context does not provide sufficient information to answer the question.
"Who was the director of the film whose success, along with that of An American Tail and The Land Before Time, prompted Steven Spielberg to establish his own animation studio?",Robert Zemeckis,The context does not provide sufficient information to answer the question.
How many acres are covered by the commercial centre for which the 41st Vice President of the United States was once the administrator ?,22 acre,The context does not provide sufficient information to answer the question.
Was Stanislav Smirnov or Grigori Perelman awarded the Fields Medal in 2010?,Stanislav Konstantinovich Smirnov,The context does not provide sufficient information to answer the question.
which  American actor was Candace Kita  guest starred with ,Bill Murray,The context does not provide sufficient information to answer the question.
The ancestral home of George Henry Moore was burned down during a conflict that ended on what date?,24 May 1923,The context does not provide sufficient information to answer the question.
Discharge is the 5th album released by the rock band formed in what year?,1977,The context does not provide sufficient information to answer the question.
"What is this produced by Willett distillery, which was originally aged in charred oak barrels until mature at 15 years old?",Noah's Mill,The context does not provide sufficient information to answer the question.
Martin Adolf Bormann's father was the private secretary of what German leader?,Adolf Hitler,The context does not provide sufficient information to answer the question.
"David G. Arnold, is a British film composer, he received a Grammy Award for Best Instrumental Composition Written for a Motion Picture or for Television and for ""Sherlock"", a a crime drama television series based on who's author?",Sir Arthur Conan Doyle,The context does not provide sufficient information to answer the question.
WHICH WHITE WOLF IMPRINT CREATED THE GAME EVERQUEST RPG AND HAS ALSO ACTED AS PUBLISHER FIR GAME DEVELOPERS SUCH AS MONTE COOK'S COMPANY AND NECROMANCER GAMES?,The Sword and Sorcery Studios,The context does not provide sufficient information to answer the question.
What professional association football club based in Milton Keynes did Michael McIndoe play for?,Milton Keynes Dons Football Club,The context does not provide sufficient information to answer the question.
Professional motorcross racer Neil Hudson won the 1981 250cc premier championship organized by what group?,Fédération Internationale de Motocyclisme,The context does not provide sufficient information to answer the question.
"Geoffrey Gilyard Unsworth, was a British cinematographer who worked on nearly 90 feature films spanning over more than 40 years, and is best known for his work on films such as Superman, released in which year, a film directed by Richard Donner and based on the DC Comics character of the same name?",1978,The context does not provide sufficient information to answer the question.
Live  is a song that was covered by which Los Angeles-based pop-rock band?,The Bangles,The context does not provide sufficient information to answer the question.
Which American city contains a park with a geyser that can lift water up to 630 ft and an monumental archway that is also 630 ft tall?,"St. Louis, Missouri",The context does not provide sufficient information to answer the question.
"Who had a higher singles ranking, Paul Haarhuis or Katarina Srebotnik?",Paul Vincent Nicholas Haarhuis,The context does not provide sufficient information to answer the question.
Were Scott Pembroke and Arthur Berthelet both film directors?,yes,The context does not provide sufficient information to answer the question.
Which town at the southern end of the Willamette Valley hosts the University of Oregon College of Arts and Sciences?,"Eugene, Oregon",The context does not provide sufficient information to answer the question.
"The 2000 Belmont Stakes was the 132nd running of the Belmont Stakes and the 96th time the event took place at Belmont Park is a major Thoroughbred horse-racing facility located in Elmont, New York, just outside which city limits?",New York City,The context does not provide sufficient information to answer the question.
"When was the asteroid, discovered at Palomar Observatory by the JPL Near Earth Asteroid Tracking Program and named after an astronaut who was killed in the Space Shuttle ""Columbia"" disaster, discovered?","July 19, 2001",The context does not provide sufficient information to answer the question.
"Ganddal Station, is a railway station in the city of Sandnes in Rogaland county, Norway, officially the Kingdom of Norway, is a sovereign state and unitary monarchy whose territory comprises the western portion of which location, plus the remote island of Jan Mayen and the archipelago of Svalbard?",Scandinavian Peninsula,"Question: Ganddal Station, is a railway station in the city of Sandnes in Rogaland county, Norway, officially the Kingdom of Norway, is a sovereign state and unitary monarchy whose territory comprises the western portion of which location, plus the remote island of Jan Mayen and the archipelago of Svalbard?
Answer: Ganddal Station is located in Sandnes, Rogaland county, Norway."
"What debut studio album by American rapper ASAP Rocky released on January 15, 2013, that had a third single peaked at #80 on the Billboard Hot 100?",LONG.LIVE.A$AP,The context does not provide sufficient information to answer the question.
Norman House is a historic building located on a hill that consists of what?,"independent shops, tea rooms and pubs",The context does not provide sufficient information to answer the question.
"Isabel Paterson, was a Canadian-American journalist, novelist, political philosopher, and a leading literary and cultural critic of her day, along with who she was an American journalist, travel writer, novelist, political theorist, and daughter of which American writer?",Laura Ingalls Wilder,The context does not provide sufficient information to answer the question.
Which Egyptian deity did Sumerian Records American deathcore band reference in their album title?,Osiris,The context does not provide sufficient information to answer the question.
What type of Animation has Erik Scott Kimerer voiced acted in that quicky went viral?,Japanese,The context does not provide sufficient information to answer the question.
What was the term used by crew members in reference to the battleship at Fall River Heritage State Park?,"""Big Mamie""","What was the term used by crew members in reference to the battleship at Fall River Heritage State Park?
```
Answer:
Old Mary
```"
Which member of The Alcatraz Gang represented Alabama as a U.S. Senator in the 1980's?,Jeremiah Denton,The context does not provide sufficient information to answer the question.
are Wilco Melissant and Guy Hamilton both film directors?,yes,The context does not provide sufficient information to answer the question.
What song that Jake Sinclair worked on was performed by Taylor Swift?,Everything Has Changed,The context does not provide sufficient information to answer the question.
"Euglossa bazinga, is a euglossine bee species found in Brazil, it's named after the catchphrase of the fictional character Dr. Sheldon Cooper, from which CBS television series?",The Big Bang Theory,The context does not provide sufficient information to answer the question.
"Trevor George Smith Jr., is better known by his stage name Busta Rhymes, is an American rapper, actor, record producer and record executive, Chuck D of which group, gave him his moniker?",Public Enemy,The context does not provide sufficient information to answer the question.
Are the Dogo Argentino and the Scottish Deerhound large or small dogs?,large,The context does not provide sufficient information to answer the question.
How far is the protected area along the river near Babcock State Park?,53 mi,The context does not provide sufficient information to answer the question.
Nick Bell is the Vice President of the company whose CEO was named youngest billionaire in the world in what year?,2015,The context does not provide sufficient information to answer the question.
Who is the Indian singer that sang Goro Ki Na Kaalo Ki?,Usha Mangeshkar,The context does not provide sufficient information to answer the question.
Hawaiian tropical dry forests have a dominant tree species of which tree in the pea family?,Acacia koa,The context does not provide sufficient information to answer the question.
Jeffery Stephen Dugan attended the same high school as a quaterback born on what date?,"September 15, 1961",The context does not provide sufficient information to answer the question.
Which building is planned for the future - 888 7th Avenue or 50 Hudson Yards?,50 Hudson Yards,The context does not provide sufficient information to answer the question.
"What are some examples of elite, highly academically competitive private liberal colleges other than the Little Ivies?","Similar groups include: Public Ivies, Southern Ivies,",The context does not provide sufficient information to answer the question.
"What is the fifth Disney animated feature film, Ratatouille or Bambi?",Bambi,The context does not provide sufficient information to answer the question.
Who won the Miss Universe competition when Natalie Kornitsik was a competitor?,Olivia Culpo,The context does not provide sufficient information to answer the question.
"Which plant grows in more regions, Thunbergia or Cortaderia?",Thunbergia,The context does not provide sufficient information to answer the question.
Where is the British crime comedy film directed by Guy Ritchie set in ,London criminal underworld,"Question: Where is the British crime comedy film directed by Guy Ritchie set in?
Answer: The context does not provide sufficient information to answer the question."
Hard Choices: Moral Dilemmas in Humanitarian Intervention is a non-fiction compilation book with a noteworthy contributor to the book who was a British racing driver who died during what 1973 race?,Dutch Grand Prix,The context does not provide sufficient information to answer the question.
Who created the band for which Patrice Guers was the former bassist?,Luca Turilli and Alex Staropoli,The context does not provide sufficient information to answer the question.
What is the top brand light lager brewed in north Korea by the state-owned Taedonggang brewing company based in Pyongyang?,Taedonggang,The context does not provide sufficient information to answer the question.
What season was the mother promoted to a main character on how i met your mother and how many episodes did that season have?,Season 9 consists of 24 episodes,The context does not provide sufficient information to answer the question.
On what date will Adelaide Kane premiere in Once Upon a Time?,"October 6, 2017",The context does not provide sufficient information to answer the question.
Are the Medieval Monuments in Kosovo and the Ruins of São Miguel das Missões both World Heritage sites?,yes,The context does not provide sufficient information to answer the question.
What year was the captain of the Karachi Dolphins born?,1981,The context does not provide sufficient information to answer the question.
"""The Class of '62"" is an episode of the BBC television sitcom, ""Only Fools and Horses"", created and written by who?",John Sullivan,The context does not provide sufficient information to answer the question.
"Who did the actor that plays Mark in ""The Room"" reunite with in Best Friends?",Tommy Wiseau,The context does not provide sufficient information to answer the question.
Kim Chung-sim is a North Korean football midfielder who competed at the world championship for women's national association football teams held on what dates?,26 June to 17 July 2011,The context does not provide sufficient information to answer the question.
Does the Suwannee Canal or the Ohio and Erie Canal connect to other canal systems in Pennsylvania?,Ohio and Erie Canal,The context does not provide sufficient information to answer the question.
For which role did the star of the reality tv show Girl Friday win two BAFTA Awards ?,Patsy Stone,The context does not provide sufficient information to answer the question.
Mikkey Ekko's first-charting material was released on which of Rihanna's albums?,Unapologetic,The context does not provide sufficient information to answer the question.
"The physicist born in 1871 who worked on the identification of alpha radiation as the nucleus of the helium atom, was considered by Encyclopedia Britannica to be the greatest experimentalist since who ?",Michael Faraday,The context does not provide sufficient information to answer the question.
"What former New York governor had his biography written by sports writer Frank Graham, Sr?","Alfred Emanuel ""Al"" Smith",The context does not provide sufficient information to answer the question.
What Academy Award did Walter Thomas Huston won in a 1948 American dramatic adventurous neo-western?,Best Supporting Actor,The context does not provide sufficient information to answer the question.
"Which hurricane, Hurricane Wilma or Hurricane Mitch, was the most intense tropical cyclone ever recorded in the Atlantic basin?",Hurricane Wilma,The context does not provide sufficient information to answer the question.
Of which nationality is the co-designer of the Sea Truck?,British,The context does not provide sufficient information to answer the question.
"Which came out first, Fantasia or 102 Dalmatians?",Fantasia,The context does not provide sufficient information to answer the question.
When was the American singer who is part of  Backstreet Boys discography born ,"February 20, 1975",The context does not provide sufficient information to answer the question.
Able to be seen as modern-day vanitas paintings are Hyman Bloom's still life paintings featuring 19th-century containers of a characteristic shape and size descending from at least as early as what period?,Neolithic Period,The context does not provide sufficient information to answer the question.
"How many miles north of Columbus, Mississippi is the base where the 736th Bombardment Squadron was stationed?",9,The context does not provide sufficient information to answer the question.
"In what year was the Enblish artist who released her second studio album Fall to Grace in 2012, born?",21 July 1981,The context does not provide sufficient information to answer the question.
That is the nationality of the person who founded Farallon Capital?,American,The context does not provide sufficient information to answer the question.
Who operates the venue that hosted the 2014 Evolution Championship Series?,Navegante Group,The context does not provide sufficient information to answer the question.
Do Alan Alda and Denys Arcand have the same nationality ?,no,The context does not provide sufficient information to answer the question.
"Naples, Idaho is on which 2571 mile-long highway that runs across the northern US?",U.S. Route 2,The context does not provide sufficient information to answer the question.
"The Christian Century and Fortune, are both which form of publication?",magazine,The context does not provide sufficient information to answer the question.
What two actors besides the actor who debuted as a member of South Sorean boy group Shinee starred in Canola?,"Youn Yuh-jung, Kim Go-eun",The context does not provide sufficient information to answer the question.
What is the middle name of the actor who has the film option on the book How Starbucks Saved My Life ? ,Jeffrey,The context does not provide sufficient information to answer the question.
What was the birth year of the founder of the spiritualistic philosophy codified in the 19th century?,1795,The context does not provide sufficient information to answer the question.
Mount Sugarloaf overlooks what city situated on the Hunter River approximately 166 km by road north of Sydney and 35 km north-west of Newcastle?,Maitland,The context does not provide sufficient information to answer the question.
"The Children Act is a film, released in which year, directed by Richard Eyre based on the novel, ""The Children Act"", it stars Stanley Tucci, an American character actor, writer, producer and film director?",2017,The context does not provide sufficient information to answer the question.
"What former jeans model starred in the South Korean film, Always?",So Ji-sub,The context does not provide sufficient information to answer the question.
The supervillain who rules the planet Apokolips made his full first appearance in DC Comics in what year?,1971,The context does not provide sufficient information to answer the question.
"Who is the retired English footballer that was signed to play for Southampton, Black Rovers, Newcastle United and the England national team?",Alan Shearer,The context does not provide sufficient information to answer the question.
"Which pizza franchise originated in Ohio, Zpizza or Cassano's Pizza King?",Cassano's Pizza King,The context does not provide sufficient information to answer the question.
Who is older - Christina Booth or Pharrell Williams ?,Christina Maria Booth,The context does not provide sufficient information to answer the question.
"Three Nationwide Plaza is a 408 ft(124m) postmodern highrise building located at the address 3 Nationwide Plaza in Downtown Columbus, Nationwide Plaza is the headquarters of Nationwide Mutual Insurance Company, and affiliated companies, are a group of large U.S. insurance and financial services companies based in Columbus in which US state (acronym)?",OH,The context does not provide sufficient information to answer the question.
Daran Norris provided voices in which television series created by Butch Hartman?,The Fairly OddParents,The context does not provide sufficient information to answer the question.
What is an alternative program to the software package used for logical barched and non-batched statistical analysis?,R Commander,The context does not provide sufficient information to answer the question.
Were Sidney Morgan and Berthold Viertel of the same nationality?,no,The context does not provide sufficient information to answer the question.
In between Central Nebraska Regional Airport and Brunswick Golden Isles Airport which one is owned by  the Hall County Airport Authority?,Central Nebraska Regional Airport,The context does not provide sufficient information to answer the question.
Where was the draft held in which Chukwudiebere Maduabum was drafted?,"Prudential Center in Newark, New Jersey",The context does not provide sufficient information to answer the question.
Blink-182 bassist and drummer also played in a rocker supergroup formed in what city in 2005?,"Los Angeles, California",The context does not provide sufficient information to answer the question.
Who ia the American singer that was the lead vocal for The Pretty Reckless ?,Taylor Momsen,The context does not provide sufficient information to answer the question.
What American Idol runner-up covered Like My Mother Does?,Lauren Alaina,The context does not provide sufficient information to answer the question.
Easy Street was a memoir of which American journalist?,Susan Jane Berman,The context does not provide sufficient information to answer the question.
Hezekiah Davis III was raised in a city that had how many inhabitants in 1900 ?,"3,380",The context does not provide sufficient information to answer the question.
What is the population of Kiril Metkov's home town?,1.26 million,The context does not provide sufficient information to answer the question.
"Which American shoe company that primarily produces skating shoes and lifestyle brand footwear must a player have won honors from to earn the ""consensus"" status for the 1942 NCAA Men's Basketball All-Americans team?",Converse,The context does not provide sufficient information to answer the question.
Kapil Mohan was the managing director of what group of companies that first incorporated in 1855?,Mohan Meakin,The context does not provide sufficient information to answer the question.
American Society of Muslims was created by who?,Warith Deen Mohammed,The context does not provide sufficient information to answer the question.
"Erika Rosenberg, is an author, interpreter and journalist, she wrote a biography of which Sudeten German-born woman, who, with her husband Oskar Schindler, helped to save the lives of 1,200 to 1,700 Jews during World War II by employing them,  providing them immunity from the Nazis?",Emilie Schindler,The context does not provide sufficient information to answer the question.
"The American pop singer, who is best known for her work in the late 1970s with Neil Young, has worked with which record producer?",Val Garay,The context does not provide sufficient information to answer the question.
"Which magazine, Madame Figaro or Stylist, is a supplement to the Saturday edition of French newspaper ""Le Figaro""?",Madame Figaro,The context does not provide sufficient information to answer the question.
The Panismahas were a sub-group of a tribe that historically lived in what two states?,Nebraska and Kansas,The context does not provide sufficient information to answer the question.
Which region were the Native American tribes primarily from that fought against the British rule in a war where Charlot Kaské served as a war chief?,the Great Lakes region,The context does not provide sufficient information to answer the question.
"Which of the characters featured in Mickey's Once Upon a Christmas  is a fictional character who first appeared in Disney's ""Pinocchio""?",Figaro,The context does not provide sufficient information to answer the question.
What year was the facility that was replaced by the arena that was briefly known as Paige Sports Arena opened?,1972,The context does not provide sufficient information to answer the question.
"Jina Devi Chongtham, is an Indian judoka, she is competing in the half-heavyweight (78 kg) class at which competitions in Glasgow, Scotland were held from 24 July to 26 July at the Scottish Exhibition and Conference Centre?",2014 Commonwealth Games,The context does not provide sufficient information to answer the question.
"Little Miss Marker is a 1980 American comedy-drama film written and directed by Walter Bernstein, based on a short story by Damon Runyon, was an American newspaperman, and short story writer, born in which year?",1880,The context does not provide sufficient information to answer the question.
How many storeys are in the castle inherited by David Gregory?,five,The context does not provide sufficient information to answer the question.
"What is derived from the recipe, which blends three types of whiskey together, Nikolaschka or Three Wise Men ?",Three Wise Men,The context does not provide sufficient information to answer the question.
"Where was a renound economics professor, considered an expert in the history of economic thought, mytery novelist, and who teaches at the private liberal arts university in San Antonio, Texas, born?",New Orleans,The context does not provide sufficient information to answer the question.
Which magazine Real Simple or Shape was founded first ?,Shape,The context does not provide sufficient information to answer the question.
Are Crescentia and Grewia part of the same family?,no,The context does not provide sufficient information to answer the question.
"Which ministry is in charge of the service that owns the oceanographic research vessel ""Dr. Bernardo A. Houssay""?",the Argentine Security Ministry,The context does not provide sufficient information to answer the question.
"Wicked: The Life and Times of the Wicked Witch of the West is a novel published in 1995 written by Gregory Maguire, it is a revisionist look at the land and characters of Oz from who, was born in Chittenango, New York in 1856 into a devout Methodist family?",L. Frank Baum,The context does not provide sufficient information to answer the question.
What is the population of the town that Kiwaukee Sanchez Thomas was born in ?,"66,588",The context does not provide sufficient information to answer the question.
Who did the person who broke Dario Hübner record as the oldest Serie A Top-scorer work as a sporting director for?,Verona,The context does not provide sufficient information to answer the question.
What drink would the people of Nannus use to celebrate what Dionysus did for them?,Wine,The context does not provide sufficient information to answer the question.
"What football stadium in Moston, Manchester, England does the semi-professional football club F.C. United of Manchester play their home matches?",Broadhurst Park,The context does not provide sufficient information to answer the question.
"What Norwegian heiress, is the daughter of the owner of Norwegian holding company Ferd?",Alexandra Gamlemshaug Andresen,"What Norwegian heiress, is the daughter of the owner of Norwegian holding company Ferd?
Answer:
Alexandra Gamlemshaug Andresen"
Saint Vitus and Pentagram had what in common when it came to the music industry?,They are one of the first doom metal bands,The context does not provide sufficient information to answer the question.
Uptown Rulers: The Meters live on the Queen Mary was recorded on a ship that was built by whom?,John Brown & Company,The context does not provide sufficient information to answer the question.
"Vice-Admiral Frederick Spencer, 4th Earl Spencer was made a Knight of the Garter, an order of chivalry founded by whom?",Edward III,The context does not provide sufficient information to answer the question.
What club does the player who made a penalty kick in the fifth minute of the 2010 Football League Cup Final play for?,Premier League,The context does not provide sufficient information to answer the question.
The drink which currently sponsors the Copa MX is produced by who?,Cervecería Modelo,The context does not provide sufficient information to answer the question.
Which governor of New Hampshire attempted to reappoint Michael Delaney?,Maggie Hassan,The context does not provide sufficient information to answer the question.
"What American rock band from Frederick, Maryland, originating in Germantown, Maryland, had a live DVD called Full Fathom Five: Video Field Recordings?",Clutch,The context does not provide sufficient information to answer the question.
What is Royal Rumble?,wrestling,The context does not provide sufficient information to answer the question.
"Chapel of the Holy Spirit, in its previous use, made pieces of the first orbiter for NASA, rolled out on what date?","September 17, 1976",The context does not provide sufficient information to answer the question.
When was the congressman who feuded with Louie Free released from prison?,"September 2, 2009",The context does not provide sufficient information to answer the question.
"Junta, is the first official studio release by which  American rock band, that was founded at the University of Vermont in 1983?",Phish,The context does not provide sufficient information to answer the question.
What English alternative rock band had a frontman who was featured in the 2008 album “Highlights”?,Inspiral Carpets,The context does not provide sufficient information to answer the question.
The winner of the inagural edition of the Hansol Korea Open earned a silver medal in which Summer Olympics?,2012 Summer Olympics,The context does not provide sufficient information to answer the question.
"Where is the company, which uses the Reactor physics engine, headquartered?","San Rafael, California",The context does not provide sufficient information to answer the question.
"Who is currently in Oblivion Dust, Atom on Sphere and Fake, Ken Lloyd or Ronnie Radke",Kentaro James Shibuya Lloyd,The context does not provide sufficient information to answer the question.
"Which documentary was produced earlier, Body of War or Air Force, Incorporated?","Air Force, Incorporated",The context does not provide sufficient information to answer the question.
"Where is the composer and writer of the tracks for the album ""TV Dinners"" living? ","Mumbai, India",The context does not provide sufficient information to answer the question.
"Where did the member of the Los Angeles Rams who made his debut On November 11, 1990 frow up?","Philadelphia, Mississippi",The context does not provide sufficient information to answer the question.
In which year was this former Australian footballer who played for the Collingwood Football Club and who is an older brother of the Australian rules footballer Robbie Tarrant born?,1980,The context does not provide sufficient information to answer the question.
"Deez Nuts was a satirical candidate, portrayed by Brady C. Olson, who ran in the 2016 United States presidential election, a poll performed in mid-August 2016 shows Deez Nuts slightly edging out Harambe and Jill Stein in Texas, with 3% of the vote, on which day, a three-year-old boy climbed into a gorilla enclosure at the Cincinnati Zoo and Botanical Garden and was grabbed and dragged by Harambe, a 17-year-old Western lowland gorilla, fearing for the boy's life, a zoo worker shot and killed Harambe?","May 28, 2016",The context does not provide sufficient information to answer the question.
Scholar and educator  Isaac S.D. Sassoon is a member of the Sassoon family because of their great wealth they accumulated they are also called what?,"""Rothschilds of the East""",The context does not provide sufficient information to answer the question.
Eastside Cannery is a casino owned by a company based in what Nevada city?,Paradise,The context does not provide sufficient information to answer the question.
What was the name of the farewell tour of the heavy metal band Black Sabbath which shares its name with their EP released on January 2016 and was only available on this tour?,The End Tour,The context does not provide sufficient information to answer the question.
"What hospital opened in 1984 and is found near Chester in Cheshire, England?",Countess of Chester Hospital,The context does not provide sufficient information to answer the question.
"Google Toolbar is a web browser toolbar for Internet Explorer, developed by Google, it was first released in which year, for Internet Explorer 5 (IE5), is a graphical web browser and one of the main participants of the first browser war?",2000,The context does not provide sufficient information to answer the question.
In what year did the movie Aron Warner won an Academy Award for Best Animated Feature for come out?,2001,The context does not provide sufficient information to answer the question.
What country containing Zurich does Patara have a restaurant in?,Switzerland,The context does not provide sufficient information to answer the question.
What is the French name of the bay into which the Big Salon River flows?,Baie de Fundy,The context does not provide sufficient information to answer the question.
"The Canadian actress who starred in Dark Honey played what character on the Disney series ""The Famous Jett Jackson""?",Riley Grant,The context does not provide sufficient information to answer the question.
Aniki-Bóbó is akin to a children's counting rhyme that has existed in various forms since well before when?,1820,The context does not provide sufficient information to answer the question.
"Which of the label with which Dzeko & Torres has had single  is a Canadian independent record label based in Vancouver, British Columbia?",Monstercat,The context does not provide sufficient information to answer the question.
"Which director is older, Frank Beyer or Jocelyn Moorhouse?",Frank Paul Beyer,The context does not provide sufficient information to answer the question.
Who died in the year 1990?,Princess Sophie of Hohenberg,The context does not provide sufficient information to answer the question.
"The Terror is an upcoming anthology television series set to be broadcast on AMC in 2017, and is based on the best-selling novel of the same name by which American author?",Dan Simmons,The context does not provide sufficient information to answer the question.
The Sequins were influenced by what band's principal songwriter Robert Smith?,The Cure,The context does not provide sufficient information to answer the question.
Buddy Hardeman was born in a city situated in which county ?,Cayuga County,The context does not provide sufficient information to answer the question.
Where was the  American daily newspaper which  Dave Kehr wrote a weekly column for published in,New York City,The context does not provide sufficient information to answer the question.
"Who starred in the political-satirical opera ""Rise and Fall of the City of Mahagonny"" and was born in 1946?",Inga Nielsen,The context does not provide sufficient information to answer the question.
Who is the half-brother of the man whose mother was also known as M. Bible?,"William ""Bill"" Murray",The context does not provide sufficient information to answer the question.
What country of origin does Peep World and Kate Mara have in common?,American,The context does not provide sufficient information to answer the question.
What is the home venue of the rugby club in England on which Scott Armstrong plays full-back or wing?,Woodlands Memorial Ground,The context does not provide sufficient information to answer the question.
"Which magazine, The New Republic or the Art of the West reported the most on World War One?",The New Republic,The context does not provide sufficient information to answer the question.
"Are the University of California, Santa Cruz and the Naval Postgraduate School both located in California? ",yes,The context does not provide sufficient information to answer the question.
"Battle of the Ch'ongch'on River and Battle of Aachen, both occurred after which year?",1944,The context does not provide sufficient information to answer the question.
"The two small towns', Fenton, Cumbria and Brampton, Carlisle are near this large railway.",Newcastle and Carlisle Railway,The context does not provide sufficient information to answer the question.
"Of the two documentaries Crazy Love and The Life of Mammals, which was filmed after 2004?",Crazy Love is a 2007 American documentary film directed by Dan Klores and Fisher Stevens.,The context does not provide sufficient information to answer the question.
Do Macropidia and Crescentia only produce flowers?,no,The context does not provide sufficient information to answer the question.
Who was the president that went into office after the assassination of the previous president and gave his State the Union Address when the American Civil War had ended?,Andrew Johnson,The context does not provide sufficient information to answer the question.
In between Johnny Bonnel and Lee Donghae who is a member of the boy band Super Junior?,Lee Dong-hae,The context does not provide sufficient information to answer the question.
Day by Day stars the American comedienne who was best known for her work in what field?,television comedy,The context does not provide sufficient information to answer the question.
Which film company has connections with both A Tiger Walks and Finding Dory?,Walt Disney,The context does not provide sufficient information to answer the question.
"In which year was this slasher film starring Chad Allen and the American actor, singer, and game show host from ""Brotherly Love"" released?",2001,The context does not provide sufficient information to answer the question.
Michael Jeffrey Lloyd was a producer of which teen idol pop star that also worked as a child actor in the 1970s?,Leif Garrett,The context does not provide sufficient information to answer the question.
"The man who did the film score for ""Silver Streak"" won the Grammy Lifetime Achievement Award in what year?",1995,The context does not provide sufficient information to answer the question.
What is the main industry of the town that has a ruined L-plan keep in an ancient Scottish village?,fishing,The context does not provide sufficient information to answer the question.
"The Afghanistan media includes printing, broadcasting and digital and is in what language which is based on the Ghilji dialect?",Pashto,The context does not provide sufficient information to answer the question.
Who wrote the play that Jack Thompson was the lead actor in 1980?,David Williamson,The context does not provide sufficient information to answer the question.
Which American football player who played 15 seasons for the Dallas Cowboys and retired in 1989 was a big factor in the 1983 Dallas Cowboys season?,"Ed ""Too Tall"" Jones",The context does not provide sufficient information to answer the question.
 Edward Harrison Norton starred in an American coming-of-age film described as a what?,"eccentric, pubescent love story",The context does not provide sufficient information to answer the question.
"Which battle took place first, Battle of Aachen or Battle of Fredericksburg?",Battle of Fredericksburg,The context does not provide sufficient information to answer the question.
"Eagle Test Systems is a supplier of automatic test equipment (ATE) and operates as a business unit within the Teradyne Semiconductor Test Division, Teradyne is based in North Reading, Massachusetts, in which country?",United States,The context does not provide sufficient information to answer the question.
"Which American politician and soldier served with Jacob Ford, great-grandfather of Tirey L. Ford? ",George Washington,The context does not provide sufficient information to answer the question.
Who was the head coach of the team that lost Super Bowl XIX?,Don Shula,The context does not provide sufficient information to answer the question.
"In what game do players take turns removing one block at a time from a tower constructed of 54 blocks, Jenga or 30 Seconds?",Jenga,The context does not provide sufficient information to answer the question.
Brüno is a film starring which English actor?,Sacha Noam Baron Cohen,"Question:- Brüno is a film starring which English actor?
Answer:  Sacha Baron Cohen."
" ""It Never Rains (In Sourthern California)"" was directed by Lisa Bonet, what sitcom did she play Denise Huxtable?","""The Cosby Show""",The context does not provide sufficient information to answer the question.
"The Last Debate is a 2000 political television film directed by John Badham, based on the book by which American journalist, and novelist, born on May 19, 1934?",James Charles Lehrer,The context does not provide sufficient information to answer the question.
"What was Radiohead's sixth studio album that was influenced by alternative rock instrumentation with drum machines, synthesisers, and digital manipulation and featured the single ""Go to Sleep""?",Hail to the Thief,The context does not provide sufficient information to answer the question.
"Who voiced a character in the ""Mobile Suit Gundam SEED"" anime television series as well as a character in the ""Sailor Moon"" television series?",Stephanie Sheh,The context does not provide sufficient information to answer the question.
"Inducted into the National Baseball Hall of Fame in 1977, what African-American served as a bat boy for his father's team in the Negro Leagues?",Ernie Banks,The context does not provide sufficient information to answer the question.
The university where William I. Rose is a professor was founded in what year?,1885,The context does not provide sufficient information to answer the question.
"Which game was published under the name Chivalry, Kill Doctor Lucky or Camelot?",Camelot,The context does not provide sufficient information to answer the question.
Which title did Nihito Arakawa's 2013 opponent hold in 2014?,WBC lightweight title,The context does not provide sufficient information to answer the question.
"Which of the two is situated in the Eyup district of Istanbul, Eyüp Sultan Mosque or Column of Marcian?",Eyüp Sultan Mosque,The context does not provide sufficient information to answer the question.
